Booking_ID,Booking_Date,Booking_Time,Customer_ID,Driver_ID,Pickup_Location,Drop_Location,Ride_Distance_km,Ride_Duration_min,Fare_Amount,Payment_Method,Ride_Status,Driver_Rating,Customer_Rating
BK1000,2025-06-13,03:01:47,CUST328,DRV242,Railway Station,Railway Station,10.61,41.39,189.45,Cash,Completed,4.2,3.3
BK1001,2025-04-19,01:01:05,CUST617,DRV716,Airport,IT Park,5.59,11.83,105.82,Cash,Completed,4.2,4.4
BK1002,2025-06-16,22:34:26,CUST703,DRV384,Airport,Mall,2.47,9.73,46.09,Cash,Completed,3.4,3.4
BK1003,2025-04-19,10:17:09,CUST881,DRV444,Railway Station,Railway Station,6.22,16.22,100.75,Card,Completed,3.9,3.6
BK1004,2025-01-25,11:54:22,CUST926,DRV144,College,Railway Station,16.07,36.62,230.4,Card,Completed,3.7,3.9
BK1005,2025-01-21,17:18:53,CUST982,DRV470,IT Park,Railway Station,20.06,48.13,323.24,UPI,Completed,4.2,3.1
BK1006,2025-06-19,07:49:18,CUST975,DRV338,Railway Station,Bus Stand,15.97,37.39,199.95,Card,Cancelled,,
BK1007,2025-04-27,20:53:23,CUST463,DRV314,Hospital,Railway Station,23.82,93.64,439.89,Cash,Completed,3.6,3.2
BK1008,2025-06-12,05:34:46,CUST573,DRV488,Hospital,IT Park,17.74,51.1,230.2,Cash,Completed,4.0,3.1
BK1009,2025-03-25,01:14:52,CUST423,DRV510,Hospital,Railway Station,22.91,57.68,396.35,UPI,Completed,3.6,4.0
BK1010,2025-05-26,22:20:13,CUST505,DRV758,College,Mall,14.57,34.53,287.85,Card,Completed,4.6,4.9
BK1011,2025-02-05,07:47:35,CUST864,DRV698,Bus Stand,Bus Stand,22.58,72.16,437.49,Card,Completed,3.2,3.4
BK1012,2025-02-26,04:32:31,CUST148,DRV981,Railway Station,Mall,3.04,8.06,45.93,Cash,Completed,3.5,4.7
BK1013,2025-02-10,21:27:38,CUST490,DRV710,College,Hospital,10.21,26.16,166.85,Cash,Completed,3.3,4.6
BK1014,2025-01-03,21:46:07,CUST649,DRV868,Hospital,Hotel,3.71,14.74,67.44,UPI,Completed,3.4,3.0
BK1015,2025-03-17,13:10:29,CUST839,DRV996,Hospital,Mall,20.76,70.87,370.19,Cash,Completed,4.5,3.1
BK1016,2025-01-28,20:19:53,CUST723,DRV303,Mall,Hotel,10.24,22.85,193.59,UPI,Completed,4.2,3.7
BK1017,2025-05-19,16:58:00,CUST600,DRV119,Railway Station,Hotel,3.46,9.07,50.52,Card,Completed,4.5,4.3
BK1018,2025-03-03,01:15:56,CUST180,DRV187,College,Railway Station,22.41,65.98,290.36,Cash,Completed,4.4,4.5
BK1019,2025-02-02,04:42:30,CUST269,DRV371,Bus Stand,IT Park,14.91,52.81,237.82,Cash,Cancelled,,
BK1020,2025-06-26,06:45:19,CUST787,DRV765,Hotel,College,14.02,40.03,171.09,Cash,Completed,3.2,3.1
BK1021,2025-04-26,03:15:14,CUST121,DRV702,IT Park,IT Park,16.64,43.74,267.38,UPI,Completed,4.8,3.5
BK1022,2025-01-19,22:40:03,CUST132,DRV980,Hotel,Railway Station,11.44,40.17,158.22,Cash,Completed,3.2,3.6
BK1023,2025-03-02,08:42:31,CUST235,DRV840,College,IT Park,5.71,22.04,105.43,Card,Completed,4.3,4.7
BK1024,2025-04-15,06:06:06,CUST462,DRV533,Bus Stand,College,20.48,48.6,392.0,Cash,Completed,4.1,4.6
BK1025,2025-01-14,21:41:41,CUST512,DRV845,Hotel,Railway Station,22.61,59.6,291.23,UPI,Completed,3.5,3.9
BK1026,2025-02-19,06:34:28,CUST287,DRV385,College,IT Park,20.81,77.44,250.88,UPI,Completed,4.0,3.8
BK1027,2025-04-24,17:06:03,CUST653,DRV956,Airport,Railway Station,7.11,15.92,104.52,UPI,Completed,4.9,3.6
BK1028,2025-02-12,13:31:30,CUST510,DRV160,Mall,Bus Stand,13.93,47.45,207.68,UPI,Completed,4.9,4.9
BK1029,2025-04-10,08:59:50,CUST392,DRV533,College,Mall,7.79,23.33,112.23,UPI,Completed,3.6,3.1
BK1030,2025-03-17,06:03:37,CUST162,DRV865,Hotel,Airport,16.02,48.15,198.84,UPI,Completed,3.6,4.8
BK1031,2025-05-30,15:32:58,CUST261,DRV158,Railway Station,Mall,7.51,17.2,119.53,UPI,Cancelled,,
BK1032,2025-06-02,02:43:55,CUST222,DRV683,IT Park,Airport,24.67,61.28,428.69,Cash,Completed,4.5,3.5
